genre,total_count,danceability,energy,instrumentalness,speechiness,tempo,valence,danceability_dist,energy_dist,instrumentalness_dist,speechiness_dist,tempo_dist,valence_dist
k-pop,10297,0.64550675,0.740626105,0.098534031,0.079603661,120.5215355,0.56977542,93,93,60,82,53,71
latin,85900,0.651527765,0.673071165,0.006354324,0.069282041,122.6371196,0.674211217,94,75,14,63,67,93
lilith,33333,0.521588726,0.449836304,0.017711972,0.047962614,118.8307599,0.425589161,45,21,23,10,42,29
lo-fi,41607,0.434796003,0.63614816,0.266091146,0.061269303,123.4723506,0.435536852,13,65,92,35,75,34
lounge,95035,0.439229954,0.31724409,0.315661524,0.056707867,111.3091126,0.441775998,15,10,98,23,4,38
madchester,30356,0.479940229,0.73120336,0.175624488,0.057074417,126.8492157,0.517997249,28,91,82,25,95,54
mambo,85275,0.607982222,0.514057438,0.12418032,0.06689308,114.9610101,0.746452607,79,35,67,55,15,104
mandopop,38973,0.549135555,0.529099941,0.003539628,0.047831925,122.8641886,0.408596944,58,39,5,9,71,23
mariachi,95245,0.561140375,0.440006513,0.032202487,0.053548727,121.5957344,0.674838705,64,20,31,19,59,94
melancholia,20233,0.452091123,0.433837208,0.193804377,0.046843553,117.8156137,0.366934488,18,19,85,7,32,17
merengue,46143,0.696451054,0.697579436,0.011116084,0.071439373,123.6494268,0.842960057,108,82,19,68,81,114
merseybeat,39235,0.533342347,0.546114132,0.065172595,0.05134811,121.4368588,0.656106864,48,44,47,13,56,89
metal,67345,0.363850164,0.876290888,0.223108681,0.088434697,125.2571705,0.321089025,3,112,88,90,87,6
metalcore,28921,0.368657941,0.92318184,0.171562862,0.115428647,127.8406582,0.282765385,4,115,80,103,101,5
metropopolis,9141,0.55445553,0.693357257,0.166986309,0.057092681,123.5105822,0.428193524,60,81,79,26,77,30
minimal,101921,0.323039288,0.163629939,0.616082006,0.064661622,107.0708516,0.170007167,2,3,112,47,2,3
moombahton,12519,0.680387731,0.836719546,0.345653036,0.12426999,131.2387457,0.3889713,102,107,102,107,107,19
motown,86442,0.573336306,0.546532315,0.02379836,0.059416042,118.642445,0.640934236,69,45,29,31,39,85
mpb,51816,0.560000656,0.513220315,0.081283767,0.066133158,115.915567,0.567564156,63,34,54,50,21,70
neo-psychedelic,56180,0.434609941,0.6633032,0.290179462,0.062164749,123.5199921,0.445425792,12,72,94,40,78,40
norteno,111587,0.656058573,0.598836856,0.003250722,0.069452273,127.1504977,0.827623056,98,53,3,64,99,112
nwobhm,23591,0.372900042,0.873695405,0.165626731,0.087437362,126.6539702,0.351853567,5,111,78,87,93,12
opm,21091,0.510864682,0.484954964,0.034357661,0.046764089,119.0002559,0.403676668,39,26,32,6,44,22
pagode,37742,0.603173361,0.658447807,0.005453919,0.07179809,119.5370122,0.682406584,78,70,11,69,46,97
pop,58567,0.62344006,0.690552774,0.022905705,0.08836789,121.3431537,0.508276181,86,80,26,88,55,50
post-disco,35478,0.668523282,0.651336476,0.094131558,0.065600899,117.9996254,0.678833672,101,67,58,49,35,96
post-grunge,40627,0.453891991,0.830767981,0.076623683,0.075441,128.6054806,0.434969629,20,105,51,78,104,32
post-punk,47985,0.457015303,0.702533262,0.253065221,0.074080129,126.5501919,0.505707263,21,84,91,73,92,48
protopunk,27176,0.467512621,0.66198095,0.138017578,0.073121582,124.669294,0.555317961,23,71,73,71,85,64
psychobilly,15362,0.43210955,0.876390457,0.132174935,0.090203795,131.8179533,0.562860187,11,113,70,93,109,68
punk,56239,0.391432629,0.85570577,0.132170542,0.089574679,132.5126611,0.514635682,7,110,69,92,111,52
ranchera,139226,0.584745981,0.467659458,0.017815279,0.058269799,122.177745,0.695254858,72,24,24,28,63,99
rap,79897,0.70054007,0.686098804,0.004123404,0.245688704,116.939423,0.541885694,109,79,7,114,23,61
redneck,22567,0.612915895,0.669569102,0.0055399,0.096977808,122.7413376,0.564825732,83,74,12,98,68,69
reggae,104457,0.745071714,0.543352191,0.133764443,0.141578564,116.2790488,0.73342632,113,43,71,109,22,103
reggaeton,19193,0.728591049,0.768401448,0.0064583,0.118733106,117.9113227,0.704276434,111,98,15,105,33,100
rock,179570,0.474896229,0.680159108,0.101231929,0.064214478,123.7877559,0.520895875,27,76,62,46,82,55
rock-and-roll,86767,0.541500063,0.520058253,0.047163705,0.059010166,119.5939696,0.660827233,52,37,39,29,47,90
rockabilly,56832,0.545014235,0.568835877,0.051746631,0.060321351,121.5307006,0.693385075,54,48,41,33,57,98
salsa,63135,0.652805243,0.627516804,0.06192758,0.06687585,117.4272812,0.814283276,95,63,45,54,28,109
samba,52878,0.559041983,0.491800018,0.10167275,0.068463013,114.4194897,0.576822321,62,27,63,60,13,72
screamo,21771,0.402206192,0.888046002,0.066921254,0.102854894,132.9276342,0.342415838,8,114,48,100,112,10
sertanejo,25490,0.612702628,0.667416336,0.001053012,0.053079372,121.8031168,0.670820129,82,73,1,18,61,92
singer-songwriter,117433,0.514053322,0.511201793,0.071700718,0.0582461,119.3439054,0.535393796,42,33,49,27,45,58
ska,39616,0.653117402,0.64658997,0.133967883,0.097184393,123.008253,0.748931841,97,66,72,99,73,105
soul,97361,0.562819301,0.500641516,0.054246353,0.066697883,117.2332893,0.611276203,65,29,42,51,25,80
soul blues,6199,0.568369414,0.460958476,0.06451293,0.070593547,118.5221773,0.619278771,66,22,46,67,38,82
soul jazz,4692,0.5015763,0.341884996,0.11133246,0.063209761,112.1103992,0.458654305,35,13,65,42,6,44
soundtrack,106906,0.286104438,0.202672566,0.736882117,0.044783955,105.7283363,0.140492919,1,4,113,4,1,1
stride,92677,0.534040906,0.302988731,0.448588987,0.066776018,114.9810865,0.539037825,49,6,108,52,16,59
swing,95742,0.525408191,0.303035253,0.317695078,0.074838807,115.388016,0.540436146,47,7,99,76,20,60
synthpop,45347,0.595373365,0.722233118,0.186550633,0.055664077,124.6574297,0.559001012,77,88,83,20,84,65
tracestep,12816,0.589597066,0.792388499,0.280995832,0.090714427,133.41775,0.328543438,73,100,93,95,113,7
tropical,68415,0.681350859,0.703384747,0.012982559,0.074815538,120.009369,0.765545145,104,85,20,75,49,107
turntablism,23612,0.686658098,0.698831322,0.230016586,0.220651436,112.1369101,0.586785355,105,83,89,112,7,75
vallenato,23507,0.695142213,0.657363721,0.006234442,0.078731459,123.533159,0.852177415,107,69,13,81,79,115
worship,47029,0.4706032,0.586991692,0.039924364,0.041498533,122.1128122,0.364221008,25,50,36,1,62,15
wrestling,5650,0.481482991,0.831200177,0.159561278,0.105940584,127.1363908,0.438125735,29,106,76,101,98,35
zolo,13428,0.50684647,0.614651738,0.216434135,0.088487429,122.8724187,0.523217032,38,58,86,91,72,56
